id,uid,user_id,group,quota,active
199,0004467091,411,merah,1,True
200,0004468195,429,merah,1,True
201,0004469315,416,biru,1,True
202,0004673768,432,biru,1,True
203,0004676615,145,merah,1,True
204,0004689322,410,merah,1,True
205,0004689684,414,merah,1,True
206,0004690378,433,merah,1,True
207,0004691370,203,biru,1,True
208,0004692669,278,biru,1,True
209,0004712433,122,merah,1,True
210,0004712635,436,merah,1,True
211,0004713810,80,merah,1,True
212,0004717818,417,merah,1,True
213,0004723599,131,biru,1,True
214,0004723732,6,merah,1,True
215,0004726531,435,merah,1,True
216,0004726691,377,biru,1,True
217,0004727609,439,merah,1,True
218,0005229244,321,biru,1,True
219,0005265426,83,merah,1,True
220,0005274992,329,merah,1,True
221,0005686028,499,biru,1,True
222,0005686299,553,biru,1,True
223,0005686580,575,biru,1,True
224,0005687451,552,biru,1,True
225,0005733631,141,merah,1,True
226,0005744097,188,merah,1,True
227,0006438699,624,biru,1,True
228,0006438702,722,biru,1,True
229,0006438706,158,merah,1,True
230,0006438725,50,merah,1,True
231,0006438728,87,merah,1,True
232,0006438732,40,merah,1,True
233,0006438736,659,biru,1,True
234,0006438759,21,merah,1,True
235,0006438781,649,merah,1,True
236,0006438788,725,merah,1,True
237,0006438789,658,biru,1,True
238,0006438818,666,biru,1,True
239,0006438819,408,merah,1,True
240,0006451545,653,biru,1,True
241,0006451874,323,biru,1,True
242,0006451987,657,biru,1,True
243,0006963594,541,biru,1,True
244,0006982405,532,biru,1,True
245,0007003823,426,biru,1,True
246,0007003883,497,biru,1,True
247,0007003918,540,biru,1,True
248,0007021649,425,biru,1,True
249,0007021652,234,biru,1,True
250,0007021656,422,biru,1,True
251,0007021864,119,hitam,1,True
252,0007021682,365,biru,1,True
253,0007021693,494,biru,1,True
254,0007021859,493,merah,1,True
255,0007021865,428,biru,1,True
256,0007021964,529,biru,1,True
257,0007021994,530,biru,1,True
258,0007024647,534,biru,1,True
259,0007024686,421,biru,1,True
260,0007024712,495,biru,1,True
261,0007024736,427,biru,1,True
262,0007024737,543,biru,1,True
263,0007024742,544,biru,1,True
264,0007024767,535,biru,1,True
265,0007024772,533,biru,1,True
266,0007035904,496,merah,1,True
267,0007035934,12,merah,1,True
268,0007036000,537,biru,1,True
269,0007041867,498,biru,1,True
270,0007051284,536,biru,1,True
271,0007051377,358,biru,1,True
272,0007051390,539,biru,1,True
273,0007327925,11,merah,1,True
274,0007353462,456,biru,1,True
275,0007354174,457,biru,1,True
276,0007406888,455,merah,1,True
277,0007406905,109,hitam,1,True
278,0007410364,118,merah,1,True
279,0007410383,454,merah,1,True
280,0007410386,451,biru,1,True
281,0007574041,140,merah,1,True
282,0007579811,147,merah,1,True
283,0007580688,130,merah,1,True
284,0007580973,409,merah,1,True
285,0007651509,354,biru,1,True
286,0007664465,364,biru,1,True
287,0007752237,125,merah,1,True
288,0007754078,363,biru,1,True
289,0007816392,356,biru,1,True
290,0007987418,266,biru,1,True
291,0008187458,594,biru,1,True
292,0008187728,563,biru,1,True
293,0008188000,566,biru,1,True
294,0008188272,596,biru,1,True
295,0008189372,568,biru,1,True
296,0008189650,138,hitam,1,True
297,0008191076,572,biru,1,True
298,0008191343,562,biru,1,True
299,0008197096,605,merah,1,True
300,0008201433,618,biru,1,True
301,0008201467,603,merah,1,True
302,0008202070,604,merah,1,True
303,0008204412,155,merah,1,True
304,0008206497,602,merah,1,True
305,0008207180,151,hitam,1,True
306,0008207490,589,merah,1,True
307,0008208110,570,biru,1,True
308,0008208421,156,merah,1,True
309,0008208669,555,biru,1,True
310,0008208732,423,biru,1,True
311,0008208980,611,biru,1,True
312,0008209291,571,biru,1,True
313,0008209354,588,merah,1,True
314,0008214631,606,merah,1,True
315,0008214943,615,biru,1,True
316,0008217111,616,biru,1,True
317,0008221064,442,biru,1,True
318,0008223244,488,biru,1,True
319,0008223555,99,merah,1,True
320,0008223866,560,biru,1,True
321,0008223991,567,biru,1,True
322,0008224302,561,biru,1,True
323,0008225423,582,merah,1,True
324,0008226034,146,hitam,1,True
325,0008226344,557,biru,1,True
326,0008226654,577,biru,1,True
327,0008233467,581,merah,1,True
328,0008233766,592,biru,1,True
329,0008234064,182,merah,1,True
330,0008249005,190,merah,1,True
331,0008249263,168,hitam,1,True
332,0008249520,372,biru,1,True
333,0008249775,609,biru,1,True
334,0008252951,169,merah,1,True
335,0008253412,608,biru,1,True
336,0008256914,593,biru,1,True
337,0008312827,110,merah,1,True
338,0008327164,453,biru,1,True
339,0008327571,449,biru,1,True
340,0008327908,96,merah,1,True
341,0008327952,450,biru,1,True
342,0008329998,464,biru,1,True
343,0008330007,33,merah,1,True
344,0008350848,135,merah,1,True
345,0008350903,459,merah,1,True
346,0008353553,452,biru,1,True
347,0008354835,324,biru,1,True
348,0008358168,749,merah,1,True
349,0008361082,85,merah,1,True
350,0008380440,737,biru,1,True
351,8398235,736,biru,1,True
352,0008440065,750,merah,1,True
353,0008461832,760,merah,1,True
354,0008466238,154,merah,1,True
355,0008533803,767,biru,1,True
356,0008654200,766,biru,1,True
357,0008654210,755,biru,1,True
358,0008654321,762,biru,1,True
359,0008689308,751,merah,1,True
360,0008721557,758,merah,1,True
361,0008721560,752,merah,1,True
362,0008736726,765,biru,1,True
363,0008740459,764,biru,1,True
364,0008772446,753,merah,1,True
365,0008795643,214,biru,1,True
366,0008803733,763,biru,1,True
367,0008806289,248,biru,1,True
368,0008806546,424,biru,1,True
369,0008831923,92,merah,1,True
370,0008840766,769,biru,1,True
371,0009008487,171,merah,1,True
372,0009008786,508,biru,1,True
373,0009009594,472,biru,1,True
374,0009010092,471,biru,1,True
375,0009019677,473,biru,1,True
376,0009030666,465,biru,1,True
377,0009031469,378,biru,1,True
378,0009032059,481,biru,1,True
379,0009035316,479,biru,1,True
380,0009042474,466,biru,1,True
381,0009042784,114,hitam,1,True
382,0009044961,271,biru,1,True
383,0009045583,221,biru,1,True
384,0009045894,509,merah,1,True
385,0009046516,220,biru,1,True
386,0009051507,139,merah,1,True
387,0009057214,159,merah,1,True
388,0009057291,267,biru,1,True
389,0009058148,475,biru,1,True
390,0009058459,458,biru,1,True
391,0009059081,507,biru,1,True
392,0009068188,413,biru,1,True
393,0009068788,205,biru,1,True
394,0009069087,525,biru,1,True
395,0009069684,270,biru,1,True
396,0009080934,294,biru,1,True
